Accounts,Sap,Name,RM,Status,Principal (MYR),Facility,BNM Facility Type,Oil and Gas,Oil and Gas Segmentation,R&R,Purpose of Financing
330801137122043900,501161,ANN JOO INTEGRATED STEEL SDN BHD,,Active,2977127.7,LC -i / TR- i ( Multi Option Facility ),Multi-Option Facility,Others,Midstream,New,To part finance the working capital requirement for the purchase of materials related to nature of business which is Shariah compliant
330801137121042800,501245,IRADAR SDN. BHD.,"",Active,920400,Revolving-i,Revolving Credit,Others,Not Applicable,New,For working capital requirement to part finance up to 100% on cost related to the administration expenses and other operating costs.
330805013101029801,NEW ACCOUNT,JLAND AUSTRALIA PTY LTD,Muhammad Qadri Abd Halim,Active-Watchlist,0,Overseas Project Financing  - i,Project Financing,Others,Not Applicable,New,Overseas Project Financing-I (OPF-i) amounting to AUD31.0mil part finance the construction of 101 units of townhouse located at the project land with total estimated development cost of AUD38.83mil.
330805013107041800,501248,MARRYBROWN AUSTRALIA PTY LTD,"",Active,490006.33,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"Blanket TF-i1: To part finance or reimburse up to 90.0% or maximum AUD180,000.00 (whichever is lower) from the total set-up cost (renovation, fitouts, equipment, and other hard cost for the building supplies or building work-related cost) for the opening of Marrybrown Craigieburn Outlet."
330805013107041900,501249,MARRYBROWN AUSTRALIA PTY LTD,"",Active,326670.9,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"Blanket TF-i2: To part finance or reimburse up to 90.0% or maximum AUD120,000.00 (whichever is lower) from the total set-up cost (renovation, fitouts, equipment, and other hard cost for the building supplies or building work-related cost) for the opening of Marrybrown Swanston Outlet."
330805013107042200,501251,MARRYBROWN DEER PARK PTY LTD,"",Active,884532.16,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"To part-finance or reimburse up to 90% or maximum of AUD325,000.00 of the set-up cost (renovation, fitouts, equipment, and other hard cost for the building supplies or building work-related cost) for the opening of Marrybrown Brimbank Outlet."
330801137110042900,501255,N.K RUBBER (M) SDN. BHD.,"",Active,1101986.56,Supplier Financing - i (Revolving) (Pre& Post),Other Trade Facilities,Others,Not Applicable,New,"To finance the working capital requirement for purchase and import of raw materials and goods related to the nature of business, which is Shariah compliance."
330801137117040800,"",OM MATERIALS (SARAWAK) SDN BHD,"",Active,0,Bank Guarantee -i (Trade),Financial Guarantee-Trade,Others,Not Applicable,New,"To satisfy OM SarawakÃ???Ã??Ã?Â¢Ã???Ã???Ã???Ã???s obligation to provide performance and payment security under the Power Purchase Agreement or other Agreements such as to Bintulu Port Sdn Bhd, Samalaju Industrial Port Sdn Bhd, Kastam Diraja Malaysia, Laku Management Sdn Bhd, Trienekens (Sarawak) Sdn Bhd, Samalaju Properties Sdn Bhd or any other beneficiary approved by the Issuing Bank and the BG Lenders under the BG Facility."
330805013107043800,501262,SKS CLAREMONT PTY LTD,"",Active,13765000,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"To redeem the existing NAB Corporate Market Loan (""the Refinanced Facility"") from National Bank Australia up to AUD5,000,000"
330802137117024500,BG-I,SMH RAIL SDN BHD,'-,Active,0,Bank Guarantee -i (Trade),Financial Guarantee-Trade,Others,Not Applicable,Existing,To part finance bond as working capital requirements for construction projects awarded to Bina Puri (Thailand) Co Ltd or any other contracts as may be approved by the Bank
330801137107043200,501257,SRI DAYAA MANUFACTURING SDN. BHD.,"",Active-Watchlist-Overdue,1438967.29,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,Restructured,"To restructure by way of financing the outstanding cost (principal) of the existing Supplier Financing-i (   SF-i   ) (Pre & Post-Shipment) for the amount of RM1,438,967.29 (the outstanding cost (principal)) and to be payable over a period of 5-years (   Restructuring   )."
330801137110043700,501225,SUNNITE TIMUR SDN BHD,"",Active,257306.8,Supplier Financing - i (Revolving) (Pre& Post),Other Trade Facilities,Others,Not Applicable,New,"To finance working capital requirements for the purchase of raw materials, parts, goods, trading and sales of goods, products, services and others related to nature of business which is Shariah compliant as approved by the Bank."
330801137107027505,NEW ACCOUNT,TAIACE ENERGY SERVICES SDN  BHD,Nurin Akmar Zulkifli,Active-Watchlist,0,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,To part finance the working capital requirement for the energy performance contract.
330801137107027506,NEW ACCOUNT,TAIACE ENERGY SERVICES SDN  BHD,Nurin Akmar Zulkifli,Active-Watchlist,0,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,To part finance the working capital requirement for the energy performance contract.
330802205107044100,"",YINSON GLOBAL CORPORATION (S) PTE LTD,"",Active,42630000,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"1.	To redeem the existing outstanding exposure of Yinson International Pte Ltd with EXIM Bank.

2.	To finance the general working capital purposes, including but not limited to the financing of overseas project under Yinson Renewables Pte Ltd and Yinson Green Technologies Pte Ltd, including financing of the Customer's Legal Fees, placement of cash in the EXIM Bank's Finance Service Reserve Account (""FSRA"") and other fee associated with the proposed Facility."
