No.,Accounts,Sap,Name,RM,Status,Profit Margin,Profit Rate,Penalty Rate,PD (%),LGD (%),Amount Approved (MYR),Principal (MYR),Contingent LC (MYR),Contingent (MYR),Account Receivables (MYR),Cumulative Accrued Profit (MYR),Penalty (MYR),Ta'widh Compensation (MYR),IIS (MYR),Other Charges (MYR),OS CCRIS (MYR),OS Audited (MYR),Banking Exposure (MYR),ECL LAF (MYR),ECL C&C (MYR),ECL AR (MYR),Accounts
1,330801137107041000,501233,CONFAST MOBILE SDN BHD,"",Active,0,7.7800,1,10.730000,0.890000,4000000,3572062.47,0,0,0,0,0,0,0,0,3572062.47,3572062.47,4000000,0,0,,330801137107041000
1,330801137110042900,501255,N.K RUBBER (M) SDN. BHD.,"",Active,0,7.0000,0,10.730000,0.890000,10000000,1101986.56,0,0,0,0,0,0,0,0,1101986.56,1101986.56,10000000,0,0,,330801137110042900
1,330801137110043700,501225,SUNNITE TIMUR SDN BHD,"",Active,0,6.8200,0,0.000000,0.000000,7000000,257306.8,0,0,0,0,0,,0,0,257306.8,257306.8,7000000,,0,,330801137110043700
1,330801137117040800,"",OM MATERIALS (SARAWAK) SDN BHD,"",Active,0,0.0000,0,10.730000,39.540000,40000000,0,0,0,0,0,0,0,0,0,0,0,40000000,0,0,,330801137117040800
1,330801137121041300,501240,MHC COLDSTORAGE SDN BHD,"",Active,0,7.2200,0,4.640000,39.540000,5000000,5000000,0,0,0,0,0,0,0,0,5000000,5000000,5000000,0,0,,330801137121041300
1,330801137121042800,501245,IRADAR SDN. BHD.,"",Active,0,7.0600,0,4.640000,0.890000,1000000,920400,0,0,0,0,0,0,0,0,920400,920400,1000000,0,0,,330801137121042800
1,330801137122043900,501161,ANN JOO INTEGRATED STEEL SDN BHD,,Active,0,0.0000,0,,,0,2977127.7,0,0,0,0,0,,0,0,2977127.7,2977127.7,,,,,330801137122043900
1,330802137112040700,501241,OM MATERIALS (SARAWAK) SDN BHD,"",Active,0,8.1400,0,10.730000,0.890000,149205000,89329167.4,24451250.73,0,0,0,0,0,0,0,89329167.4,89329167.4,149205000,0,0,,330802137112040700
1,330802137117024500,BG-I,SMH RAIL SDN BHD,'-,Active,0,0.0000,0,14.840000,39.540000,3879330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,330802137117024500
1,330802137131044000,501263,PERTAMA FERROALLOYS SDN. BHD.,"",Active,0,8.6400,0,10.730000,39.540000,85260000,85260000,0,0,0,0,0,,0,0,85260000,85260000,85260000,,0,,330802137131044000
1,330802205107044100,"",YINSON GLOBAL CORPORATION (S) PTE LTD,"",Active,0,8.2500,1,0.000000,0.000000,42630000,42630000,0,0,0,0,0,,0,0,42630000,42630000,42630000,,0,,330802205107044100
1,330802246107043400,501260,WHITEX GARMENTS SDN BHD,"",Active,0,9.2700,1,14.840000,39.540000,21315000,12596365.69,0,0,0,0,0,0,0,0,12596365.69,12596365.69,21315000,0,0,,330802246107043400
1,330802246121043100,501259,WHITEX GARMENTS SDN BHD,"",Active,0,9.1700,1,14.840000,39.540000,8526000,8526000,0,0,0,0,0,0,0,0,8526000,8526000,8526000,0,0,,330802246121043100
1,330805013107043800,501262,SKS CLAREMONT PTY LTD,"",Active,0,7.4100,1,0.000000,0.000000,13765000,13765000,0,0,0,0,0,,0,0,13765000,13765000,13765000,,0,,330805013107043800
1,330801137107027505,NEW ACCOUNT,TAIACE ENERGY SERVICES SDN  BHD,Nurin Akmar Zulkifli,Active-Watchlist,0,0.0000,0,0.000000,0.000000,220000,0,0,0,0,0,0,0,0,0,0,0,220000,0,0,,330801137107027505
1,330801137107027506,NEW ACCOUNT,TAIACE ENERGY SERVICES SDN  BHD,Nurin Akmar Zulkifli,Active-Watchlist,0,0.0000,0,0.000000,0.000000,760000,0,0,0,0,0,0,0,0,0,0,0,760000,0,0,,330801137107027506
1,330805013101029801,NEW ACCOUNT,JLAND AUSTRALIA PTY LTD,Muhammad Qadri Abd Halim,Active-Watchlist,0,0.0000,0,1.820000,0.890000,85343000,0,0,0,0,0,0,0,0,0,0,0,85343000,0,0,,330805013101029801
1,330801137107027504,501071,TAIACE ENERGY SERVICES SDN  BHD,Nurin Akmar Zulkifli,Active-Watchlist-Overdue,0,7.4143,1,14.840000,39.540000,460000,271473.85,0,0,0,0,0,0,0,0,271473.85,271473.85,271473.85,0,0,,330801137107027504
1,330801137107043200,501257,SRI DAYAA MANUFACTURING SDN. BHD.,"",Active-Watchlist-Overdue,0,7.5300,1,33.050000,39.540000,1438967.29,1438967.29,0,0,0,0,0,0,0,0,1438967.29,1438967.29,1438967.29,0,0,,330801137107043200
